,long,lat,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Date
0,10.78177778611169,73.72074452794547,barentsburg,sj,51.8,76.0,87.0,4.47,1600051984.0
1,58.1028959343096,-87.21956810277749,east london,za,59.0,67.0,3.0,19.46,1600099211.0
2,-99.31801032117049,-80.03842345587506,punta arenas,cl,46.4,61.0,20.0,40.26,1600099422.0
3,176.34225969932152,-10.508927561859693,asau,tv,70.0,71.0,2.0,4.16,1600099544.0
4,66.37851827427158,42.58170995744845,zhanakorgan,kz,72.48,23.0,0.0,10.98,1600099544.0
5,25.571831459355394,-89.7739175957169,bredasdorp,za,59.0,47.0,71.0,12.75,1600099545.0
6,12.7347466610629,-6.5166904673336745,soyo,ao,76.42,71.0,67.0,9.82,1600099545.0
7,111.42932247425443,-89.3595205019349,albany,au,71.01,54.0,13.0,1.01,1600099545.0
8,148.77617210045315,64.51467023160413,shirokiy,ru,56.64,86.0,100.0,5.21,1600099545.0
9,-118.25766846154482,53.01670690726411,jasper,ca,70.0,82.0,20.0,5.82,1600099545.0
10,-42.292184432865156,35.79830836643151,ribeira grande,pt,71.6,53.0,20.0,17.22,1600099546.0
11,-147.52864234597067,47.851173674330454,kodiak,us,42.8,87.0,1.0,8.05,1600099546.0
12,-178.1984116686424,2.6813769708753767,vaitupu,wf,51.8,76.0,87.0,4.47,1600051984.0
13,-47.530873243939425,-64.14838736313801,ushuaia,ar,41.0,74.0,90.0,25.28,1600098871.0
14,73.17057535707184,-27.453052226203553,bambous virieux,mu,69.01,56.0,75.0,18.34,1600099258.0
15,19.719692833232358,38.04388732640547,lixourion,gr,89.6,43.0,20.0,4.7,1600099357.0
16,-9.710186946015597,66.18061900193084,vestmanna,fo,50.0,76.0,85.0,4.7,1600099546.0
18,-175.46229630110474,-53.0027828740116,vaini,to,68.0,82.0,20.0,5.82,1600099170.0
19,139.22936816380928,-24.12286127459022,mount isa,au,64.4,34.0,0.0,6.93,1600099222.0
20,33.54998918674471,-3.5639881426011044,mwadui,tz,82.99,23.0,28.0,8.75,1600099547.0
22,16.334152401541786,75.76723894159272,longyearbyen,sj,37.4,91.0,75.0,5.82,1600099214.0
23,122.01145016694454,45.52450903920828,wulanhaote,cn,51.8,76.0,87.0,4.47,1600051984.0
25,-81.33676335169102,-29.71419832001441,coquimbo,cl,57.2,76.0,40.0,9.17,1600099218.0
26,-49.37828568560204,67.70463916557779,qasigiannguit,gl,28.4,50.0,5.0,4.7,1600099218.0
27,-97.99101247620854,1.4005268863302405,puerto ayora,ec,71.6,68.0,75.0,16.11,1600099218.0
28,47.085923788025696,-68.09398993437846,port alfred,za,60.53,62.0,0.0,24.76,1600098963.0
29,-87.7047733580922,75.45245333454471,qaanaaq,gl,28.99,90.0,78.0,11.79,1600099156.0
30,-23.324301642777385,38.55927685250876,vila franca do campo,pt,71.6,60.0,20.0,23.04,1600099219.0
31,6.942183502660015,17.164771198723002,agadez,ne,104.65,8.0,0.0,10.22,1600099220.0
33,-29.7509441980462,-46.22184842958022,cidreira,br,60.69,65.0,100.0,16.22,1600099220.0
34,-31.1013660853219,15.170726400630642,porto novo,cv,82.4,78.0,20.0,16.11,1600099220.0
36,58.43133521024538,53.18695167795519,askarovo,ru,55.4,58.0,75.0,6.71,1600099220.0
37,-0.6840902295209332,3.9894233328804205,cape coast,gh,78.03,83.0,66.0,13.8,1600099221.0
38,-139.33392390405902,-16.297935250152918,atuona,pf,77.25,78.0,5.0,16.87,1600099221.0
39,-5.962726638108251,48.15146010372956,plouzane,fr,82.4,45.0,63.0,5.82,1600099222.0
41,19.052454804188187,38.66058928295027,ayios matthaios,gr,51.8,76.0,87.0,4.47,1600051984.0
42,-94.79768163569845,36.80160841058526,miami,us,88.0,70.0,90.0,13.87,1600099303.0
43,-112.70654115200503,35.32557940262177,chino valley,us,73.99,36.0,1.0,2.48,1600099222.0
45,145.07153346270462,79.74602273158806,chokurdakh,ru,41.79,86.0,25.0,6.87,1600099223.0
46,154.30729613330385,-78.88444808195027,bluff,nz,42.01,91.0,99.0,3.0,1600099223.0
47,76.19504224307173,-41.22687106618134,mahebourg,mu,68.0,56.0,75.0,18.34,1600099167.0
48,176.37860944921476,46.526377122581465,nikolskoye,ru,59.0,62.0,0.0,13.42,1600099223.0
49,161.52745590139074,61.98445115731457,evensk,ru,40.86,69.0,27.0,7.99,1600099223.0
50,84.42236329953062,-76.46724345536836,busselton,au,57.99,52.0,0.0,7.52,1600099224.0
51,-95.68218864386495,73.34032673359502,thompson,ca,44.6,87.0,90.0,6.93,1600099218.0
52,172.9113932086214,87.43521781454905,pevek,ru,40.24,85.0,100.0,8.48,1600099224.0
53,-154.64277909672285,-36.86738953314408,mataura,pf,42.01,90.0,100.0,3.0,1600099167.0
55,116.73456498252148,45.71160951045684,baruun-urt,mn,50.13,45.0,94.0,7.56,1600099225.0
56,-116.75894075227404,-30.322815523035047,rikitea,pf,73.11,82.0,3.0,12.46,1600099155.0
58,117.68958456357444,-6.569160399870512,sumbawa,id,51.8,76.0,87.0,4.47,1600051984.0
59,174.73315931158862,-35.25335395260804,ngunguru,nz,50.0,3.0,27.0,5.01,1600099226.0
60,-45.00221630759356,-20.351908919986002,itapecerica,br,87.96,24.0,0.0,2.57,1600099226.0
61,-175.00769456264138,27.31268226127935,kapaa,us,75.2,88.0,90.0,6.93,1600099166.0
64,118.93040799933698,84.29157235973653,saskylakh,ru,43.84,79.0,100.0,1.92,1600099226.0
65,40.04097792250309,65.23192106085995,severodvinsk,ru,51.8,81.0,75.0,8.95,1600098955.0
68,104.83417665892,83.14315448835026,khatanga,ru,45.28,85.0,33.0,0.76,1600099173.0
69,85.30166942759752,67.06197761634263,igarka,ru,49.51,95.0,93.0,10.04,1600099227.0
70,27.4527695504282,-42.07190396869084,port elizabeth,za,60.8,59.0,20.0,29.97,1600099227.0
71,70.93858924002348,70.41075740072597,yar-sale,ru,50.32,78.0,100.0,17.47,1600099228.0
73,-7.103304704059127,51.669821394026314,tramore,ie,66.0,88.0,98.0,9.17,1600099228.0
74,70.28043257556459,-53.45513452220445,saint-philippe,re,68.0,60.0,58.0,27.51,1600099228.0
75,109.34830721021632,25.276764292354287,luorong,cn,77.49,86.0,100.0,2.08,1600099228.0
76,13.902135828919427,43.9349063585519,ancona,it,80.6,74.0,65.0,5.82,1600099229.0
77,-12.141820379112716,-76.23158182702866,cape town,za,60.01,66.0,75.0,9.17,1600099199.0
78,-44.03540836824317,-15.268578658348176,itacarambi,br,95.07,24.0,12.0,4.12,1600099229.0
79,-47.289981155704425,41.58610885374614,torbay,ca,62.01,100.0,90.0,23.04,1600099229.0
80,80.94709425869979,21.618089653822537,chhuikhadan,in,81.77,73.0,49.0,3.09,1600099230.0
82,119.35863927185761,-29.056935045942055,northam,au,78.8,39.0,61.0,10.29,1600099231.0
83,-141.06168033184213,21.795109063662764,hilo,us,73.4,73.0,90.0,3.53,1600099088.0
84,53.87924336379774,57.25227323260688,sharkan,ru,48.99,93.0,100.0,8.14,1600099231.0
86,78.90280832842785,55.43006344602469,barabinsk,ru,50.9,85.0,0.0,6.4,1600099232.0
87,50.324436038312285,41.03421495147728,buzovna,az,75.2,73.0,0.0,6.93,1600099232.0
88,97.22686862682576,57.21355799068502,chunoyar,ru,47.14,89.0,54.0,3.91,1600099232.0
91,85.85550035680347,76.62795358634637,dikson,ru,42.51,87.0,59.0,12.84,1600099233.0
92,119.50608202454623,39.79223736107943,qinhuangdao,cn,66.58,79.0,85.0,1.59,1600099160.0
94,177.49798034491482,66.34288802955649,anadyr,ru,46.4,93.0,40.0,13.42,1600099233.0
95,-84.46538009371773,59.733462466351796,attawapiskat,ca,51.8,76.0,87.0,4.47,1600051984.0
96,-133.6848420233489,53.573458255824335,ketchikan,us,51.8,93.0,1.0,2.24,1600099233.0
97,81.76643587036727,-19.135169854205344,hithadhoo,mv,82.2,67.0,74.0,5.66,1600099171.0
98,-118.28953655629971,7.1190828888064175,cabo san lucas,mx,84.0,88.0,40.0,2.91,1600098983.0
100,-29.953453045311647,-5.189105639647053,cabedelo,br,80.6,69.0,75.0,11.41,1600099234.0
102,155.4166949103107,5.434399105767838,kavieng,pg,82.94,76.0,44.0,14.92,1600099234.0
103,43.09037756073383,23.61657313171432,buraydah,sa,102.2,12.0,0.0,8.05,1600099234.0
106,177.36876302865443,84.29148451676366,leningradskiy,ru,39.67,93.0,100.0,8.95,1600099235.0
107,0.33682034826966856,44.40530896618367,tonneins,fr,95.0,31.0,0.0,1.99,1600099236.0
109,-90.77051756637668,-6.058146699481696,san cristobal,ec,89.6,49.0,40.0,4.7,1600099157.0
